日付,終値,前日比
2025/06/17,4013,23
2025/06/16,3990,53
2025/06/13,3937,-38
2025/06/12,3975,-26
2025/06/11,4001,25
2025/06/10,3976,11
2025/06/09,3965,35
2025/06/06,3930,18
2025/06/05,3912,-21
2025/06/04,3933,28
2025/06/03,3905,5
2025/06/02,3900,-64
2025/05/30,3964,-36
2025/05/29,4000,72
2025/05/28,3928,-1
2025/05/27,3929,24
2025/05/26,3905,39
2025/05/23,3866,20
2025/05/22,3846,-36
2025/05/21,3882,-21
2025/05/20,3903,1
2025/05/19,3902,-26
2025/05/16,3928,-9
2025/05/15,3937,-32
2025/05/14,3969,-6
2025/05/13,3975,50
2025/05/12,3925,26
2025/05/09,3899,39
2025/05/08,3860,29
2025/05/07,3831,-4
2025/05/02,3835,35
2025/05/01,3800,50
2025/04/30,3750,15
2025/04/28,3735,20
2025/04/25,3715,70
2025/04/24,3645,20
2025/04/23,3625,60
2025/04/22,3565,-10
2025/04/21,3575,-40
2025/04/18,3615,45
2025/04/17,3570,45
2025/04/16,3525,-45
2025/04/15,3570,25
2025/04/14,3545,40
2025/04/11,3505,-90
2025/04/10,3595,280
2025/04/09,3315,-120
2025/04/08,3435,175
2025/04/07,3260,-270
2025/04/04,3530,-95
2025/04/03,3625,-96
2025/04/02,3721,16
2025/04/01,3705,-10
2025/03/31,3715,-144
2025/03/28,3859,-39
2025/03/27,3898,-28
2025/03/26,3926,25
2025/03/25,3901,11
2025/03/24,3890,-1
2025/03/21,3891,-9
2025/03/19,3900,-8
2025/03/18,3908,42
2025/03/17,3866,35
2025/03/14,3831,28
2025/03/13,3803,0
2025/03/12,3803,2
2025/03/11,3801,-26
2025/03/10,3827,19
2025/03/07,3808,-85
2025/03/06,3893,28
2025/03/05,3865,10
2025/03/04,3855,-52
2025/03/03,3907,68
2025/02/28,3839,-115
2025/02/27,3954,20
2025/02/26,3934,-14
2025/02/25,3948,-60
2025/02/21,4008,12
2025/02/20,3996,-49
2025/02/19,4045,-11
2025/02/18,4056,17
2025/02/17,4039,-6
2025/02/14,4045,-28
2025/02/13,4073,54
2025/02/12,4019,12
2025/02/10,4007,5
2025/02/07,4002,-31
2025/02/06,4033,-11
2025/02/05,4044,10
2025/02/04,4034,22
2025/02/03,4012,-108
2025/01/31,4120,12
2025/01/30,4108,9
2025/01/29,4099,38
2025/01/28,4061,-58
2025/01/27,4119,-44
2025/01/24,4163,-1
2025/01/23,4164,34
2025/01/22,4130,67
2025/01/21,4063,18
2025/01/20,4045,37
2025/01/17,4008,-11
2025/01/16,4019,18
2025/01/15,4001,-6
2025/01/14,4007,-77
2025/01/10,4084,-38
2025/01/09,4122,-38
2025/01/08,4160,-7
2025/01/07,4167,73
2025/01/06,4094,-68
2024/12/30,4162,-25
2024/12/27,4187,80
2024/12/26,4107,36
2024/12/25,4071,11
2024/12/24,4060,-13
2024/12/23,4073,43
2024/12/20,4030,-8
2024/12/19,4038,-30
2024/12/18,4068,-29
2024/12/17,4097,1
2024/12/16,4096,-9
2024/12/13,4105,-49
2024/12/12,4154,57
2024/12/11,4097,5
2024/12/10,4092,22
2024/12/09,4070,10
2024/12/06,4060,-38
2024/12/05,4098,20
2024/12/04,4078,3
2024/12/03,4075,75
2024/12/02,4000,32
2024/11/29,3968,-21
2024/11/28,3989,20
2024/11/27,3969,-23
2024/11/26,3992,-41
2024/11/25,4033,48
2024/11/22,3985,28
2024/11/21,3957,-36
2024/11/20,3993,-2
2024/11/19,3995,16
2024/11/18,3979,-41
2024/11/15,4020,11
2024/11/14,4009,-14
2024/11/13,4023,-71
2024/11/12,4094,-16
2024/11/11,4110,4
2024/11/08,4106,19
2024/11/07,4087,-20
2024/11/06,4107,97
2024/11/05,4010,20
2024/11/01,3990,-80
2024/10/31,4070,-13
2024/10/30,4083,42
2024/10/29,4041,17
2024/10/28,4024,83
2024/10/25,3941,-31
2024/10/24,3972,14
2024/10/23,3958,-37
2024/10/22,3995,-62
2024/10/21,4057,6
2024/10/18,4051,-8
2024/10/17,4059,-21
2024/10/16,4080,-73
2024/10/15,4153,41
2024/10/11,4112,16
2024/10/10,4096,9
2024/10/09,4087,37
2024/10/08,4050,-44
2024/10/07,4094,81
2024/10/04,4013,5
2024/10/03,4008,75
2024/10/02,3933,-87
2024/10/01,4020,81
2024/09/30,3939,-190
2024/09/27,4129,114
2024/09/26,4015,101
2024/09/25,3914,-8
2024/09/24,3922,23
2024/09/20,3899,64
2024/09/19,3835,78
2024/09/18,3757,15
2024/09/17,3742,-38
2024/09/13,3780,-29
2024/09/12,3809,128
2024/09/11,3681,-97
2024/09/10,3778,24
2024/09/09,3754,-7
2024/09/06,3761,-27
2024/09/05,3788,-37
2024/09/04,3825,-175
2024/09/03,4000,8
2024/09/02,3992,2
2024/08/30,3990,28
2024/08/29,3962,1
2024/08/28,3961,6
2024/08/27,3955,25
2024/08/26,3930,-36
2024/08/23,3966,23
2024/08/22,3943,24
2024/08/21,3919,-19
2024/08/20,3938,79
2024/08/19,3859,-74
2024/08/16,3933,143
2024/08/15,3790,27
2024/08/14,3763,18
2024/08/13,3745,189
2024/08/09,3556,-38
2024/08/08,3594,-71
2024/08/07,3665,91
2024/08/06,3574,324
2024/08/05,3250,-552
2024/08/02,3802,-175
2024/08/01,3977,-106
2024/07/31,4083,63
2024/07/30,4020,3
2024/07/29,4017,88
2024/07/26,3929,-26
2024/07/25,3955,-128
2024/07/24,4083,-46
2024/07/23,4129,-2
2024/07/22,4131,-59
2024/07/19,4190,4
2024/07/18,4186,-101
2024/07/17,4287,-18
2024/07/16,4305,9
2024/07/12,4296,-112
2024/07/11,4408,45
2024/07/10,4363,25
2024/07/09,4338,80
2024/07/08,4258,-2
2024/07/05,4260,-6
2024/07/04,4266,32
2024/07/03,4234,58
2024/07/02,4176,45
2024/07/01,4131,7
2024/06/28,4124,29
2024/06/27,4095,-38
2024/06/26,4133,49
2024/06/25,4084,43
2024/06/24,4041,21
2024/06/21,4020,-5
2024/06/20,4025,13
2024/06/19,4012,9
2024/06/18,4003,36
2024/06/17,3967,-80
2024/06/14,4047,11
2024/06/13,4036,-16
2024/06/12,4052,-23
2024/06/11,4075,7
2024/06/10,4068,37
2024/06/07,4031,-2
2024/06/06,4033,23
2024/06/05,4010,-36
2024/06/04,4046,-14
2024/06/03,4060,48
2024/05/31,4012,47
2024/05/30,3965,-52
2024/05/29,4017,-31
2024/05/28,4048,-5
2024/05/27,4053,27
2024/05/24,4026,-48
2024/05/23,4074,49
2024/05/22,4025,-30
2024/05/21,4055,-16
2024/05/20,4071,34
2024/05/17,4037,-16
2024/05/16,4053,56
2024/05/15,3997,8
2024/05/14,3989,13
2024/05/13,3976,-9
2024/05/10,3985,19
2024/05/09,3966,-14
2024/05/08,3980,-63
2024/05/07,4043,60
2024/05/02,3983,-3
2024/05/01,3986,-11
2024/04/30,3997,44
2024/04/26,3953,30
2024/04/25,3923,-78
2024/04/24,4001,94
2024/04/23,3907,-2
2024/04/22,3909,45
2024/04/19,3864,-100
2024/04/18,3964,7
2024/04/17,3957,-51
2024/04/16,4008,-77
2024/04/15,4085,-33
2024/04/12,4118,9
2024/04/11,4109,-13
2024/04/10,4122,-16
2024/04/09,4138,44
2024/04/08,4094,32
2024/04/05,4062,-86
2024/04/04,4148,34
2024/04/03,4114,-42
2024/04/02,4156,7
2024/04/01,4149,-65
2024/03/29,4214,31
2024/03/28,4183,-36
2024/03/27,4219,33
2024/03/26,4186,0
2024/03/25,4186,-46
2024/03/22,4232,11
2024/03/21,4221,83
2024/03/19,4138,26
2024/03/18,4112,105
2024/03/15,4007,-9
2024/03/14,4016,10
2024/03/13,4006,-12
2024/03/12,4018,-1
2024/03/11,4019,-89
2024/03/08,4108,9
2024/03/07,4099,-53
2024/03/06,4152,-1
2024/03/05,4153,1
2024/03/04,4152,19
2024/03/01,4133,77
2024/02/29,4056,2
2024/02/28,4054,-6
2024/02/27,4060,3
2024/02/26,4057,9
2024/02/22,4048,87
2024/02/21,3961,-13
2024/02/20,3974,-3
2024/02/19,3977,-5
2024/02/16,3982,34
2024/02/15,3948,44
2024/02/14,3904,-25
2024/02/13,3929,110
2024/02/09,3819,7
2024/02/08,3812,44
2024/02/07,3768,0
2024/02/06,3768,-26
2024/02/05,3794,24
2024/02/02,3770,22
2024/02/01,3748,-41
2024/01/31,3789,29
2024/01/30,3760,5
2024/01/29,3755,32
2024/01/26,3723,-58
2024/01/25,3781,5
2024/01/24,3776,-31
2024/01/23,3807,-5
2024/01/22,3812,63
2024/01/19,3749,53
2024/01/18,3696,-4
2024/01/17,3700,-18
2024/01/16,3718,-27
2024/01/15,3745,36
2024/01/12,3709,51
2024/01/11,3658,68
2024/01/10,3590,69
2024/01/09,3521,38
2024/01/05,3483,13
2024/01/04,3470,-11
2023/12/29,3481,-16
2023/12/28,3497,-9
2023/12/27,3506,42
2023/12/26,3464,2
2023/12/25,3462,13
2023/12/22,3449,0
2023/12/21,3449,-60
2023/12/20,3509,55
2023/12/19,3454,44
2023/12/18,3410,-20
2023/12/15,3430,29
2023/12/14,3401,-24
2023/12/13,3425,9
2023/12/12,3416,0
2023/12/11,3416,55
2023/12/08,3361,-57
2023/12/07,3418,-62
2023/12/06,3480,70
2023/12/05,3410,-46
2023/12/04,3456,-24
2023/12/01,3480,-1
2023/11/30,3481,13
2023/11/29,3468,-7
2023/11/28,3475,-4
2023/11/27,3479,-23
2023/11/24,3502,20
2023/11/22,3482,11
2023/11/21,3471,-1
2023/11/20,3472,-21
2023/11/17,3493,18
2023/11/16,3475,-12
2023/11/15,3487,81
2023/11/14,3406,19
2023/11/13,3387,-5
2023/11/10,3392,-7
2023/11/09,3399,53
2023/11/08,3346,-9
2023/11/07,3355,-46
2023/11/06,3401,75
2023/11/02,3326,40
2023/11/01,3286,71
2023/10/31,3215,20
2023/10/30,3195,-34
2023/10/27,3229,47
2023/10/26,3182,-71
2023/10/25,3253,17
2023/10/24,3236,9
2023/10/23,3227,-28
2023/10/20,3255,-18
2023/10/19,3273,-65
2023/10/18,3338,7
2023/10/17,3331,40
2023/10/16,3291,-72
2023/10/13,3363,-16
2023/10/12,3379,54
2023/10/11,3325,20
2023/10/10,3305,77
2023/10/06,3228,-4
2023/10/05,3232,55
2023/10/04,3177,-74
2023/10/03,3251,-57
2023/10/02,3308,-8
2023/09/29,3316,0
2023/09/28,3316,-24
2023/09/27,3340,-4
2023/09/26,3344,-36
2023/09/25,3380,31
2023/09/22,3349,-22
2023/09/21,3371,-42
2023/09/20,3413,-24
2023/09/19,3437,-30
2023/09/15,3467,36
2023/09/14,3431,52
2023/09/13,3379,-10
2023/09/12,3389,34
2023/09/11,3355,-12
2023/09/08,3367,-41
2023/09/07,3408,-28
2023/09/06,3436,27
2023/09/05,3409,7
2023/09/04,3402,20
2023/09/01,3382,10
2023/08/31,3372,29
2023/08/30,3343,14
2023/08/29,3329,3
2023/08/28,3326,61
2023/08/25,3265,-69
2023/08/24,3334,27
2023/08/23,3307,14
2023/08/22,3293,34
2023/08/21,3259,13
2023/08/18,3246,-16
2023/08/17,3262,-18
2023/08/16,3280,-48
2023/08/15,3328,17
2023/08/14,3311,-46
2023/08/10,3357,30
2023/08/09,3327,-14
2023/08/08,3341,-18
2023/08/07,3359,4
2023/08/04,3355,0
2023/08/03,3355,-55
2023/08/02,3410,-78
2023/08/01,3488,29
2023/07/31,3459,43
2023/07/28,3416,-15
2023/07/27,3431,27
2023/07/26,3404,-2
2023/07/25,3406,-3
2023/07/24,3409,40
2023/07/21,3369,-17
2023/07/20,3386,-38
2023/07/19,3424,35
2023/07/18,3389,11
2023/07/14,3378,0
2023/07/13,3378,35
2023/07/12,3343,-14
2023/07/11,3357,0
2023/07/10,3357,-21
2023/07/07,3378,-39
2023/07/06,3417,-59
2023/07/05,3476,-8
2023/07/04,3484,-32
2023/07/03,3516,53
2023/06/30,3463,-3
2023/06/29,3466,14
2023/06/28,3452,65
2023/06/27,3387,-24
2023/06/26,3411,0
2023/06/23,3411,-54
2023/06/22,3465,-34
2023/06/21,3499,23
2023/06/20,3476,0
2023/06/19,3476,-38
2023/06/16,3514,28
2023/06/15,3486,-2
2023/06/14,3488,47
2023/06/13,3441,63
2023/06/12,3378,19
2023/06/09,3359,62
2023/06/08,3297,-27
2023/06/07,3324,-63
2023/06/06,3387,33
2023/06/05,3354,70
2023/06/02,3284,43
2023/06/01,3241,25
2023/05/31,3216,-46
2023/05/30,3262,9
2023/05/29,3253,32
2023/05/26,3221,14
2023/05/25,3207,11
2023/05/24,3196,-30
2023/05/23,3226,-12
2023/05/22,3238,29
2023/05/19,3209,25
2023/05/18,3184,51
2023/05/17,3133,24
2023/05/16,3109,25
2023/05/15,3084,24
2023/05/12,3060,26
2023/05/11,3034,1
2023/05/10,3033,-11
2023/05/09,3044,29
2023/05/08,3015,-20
2023/05/02,3035,1
2023/05/01,3034,29
2023/04/28,3005,43
2023/04/27,2962,2
2023/04/26,2960,-20
2023/04/25,2980,6
2023/04/24,2974,1
2023/04/21,2973,-8
2023/04/20,2981,5
2023/04/19,2976,-8
2023/04/18,2984,15.5
2023/04/17,2968.5,4
2023/04/14,2964.5,35.5
2023/04/13,2929,3.5
2023/04/12,2925.5,17
2023/04/11,2908.5,31.5
2023/04/10,2877,15
2023/04/07,2862,1
2023/04/06,2861,-34.5
2023/04/05,2895.5,-48
2023/04/04,2943.5,7.5
2023/04/03,2936,16.5
2023/03/31,2919.5,31
2023/03/30,2888.5,14
2023/03/29,2874.5,36
2023/03/28,2838.5,4
2023/03/27,2834.5,13
2023/03/24,2821.5,-7.5
2023/03/23,2829,-3
2023/03/22,2832,51
2023/03/20,2781,-36.5
2023/03/17,2817.5,33.5
2023/03/16,2784,-22
2023/03/15,2806,0
2023/03/14,2806,-67
2023/03/13,2873,-27.5
2023/03/10,2900.5,-51
2023/03/09,2951.5,20
2023/03/08,2931.5,11
2023/03/07,2920.5,8
2023/03/06,2912.5,34.5
2023/03/03,2878,42
2023/03/02,2836,-1
2023/03/01,2837,7.5
2023/02/28,2829.5,1
2023/02/27,2828.5,1.5
2023/02/24,2827,33
2023/02/22,2794,-38
2023/02/21,2832,-4
2023/02/20,2836,0
2023/02/17,2836,-21
2023/02/16,2857,22
2023/02/15,2835,-10.5
2023/02/14,2845.5,20.5
2023/02/13,2825,-26
2023/02/10,2851,7.5
2023/02/09,2843.5,-2.5
2023/02/08,2846,-33.5
2023/02/07,2879.5,-0.5
2023/02/06,2880,16.5
2023/02/03,2863.5,10.5
2023/02/02,2853,7.5
2023/02/01,2845.5,3.5
2023/01/31,2842,-12
2023/01/30,2854,5
2023/01/27,2849,4
2023/01/26,2845,-3
2023/01/25,2848,5.5
2023/01/24,2842.5,42.5
2023/01/23,2800,38
2023/01/20,2762,15.5
2023/01/19,2746.5,-40
2023/01/18,2786.5,67.5
2023/01/17,2719,33.5
2023/01/16,2685.5,-30.5
2023/01/13,2716,-36
2023/01/12,2752,2
2023/01/11,2750,25
2023/01/10,2725,20.5
2023/01/06,2704.5,17
2023/01/05,2687.5,10
2023/01/04,2677.5,-40
2022/12/30,2717.5,3.5
2022/12/29,2714,-21
2022/12/28,2735,-13.5
2022/12/27,2748.5,6.5
2022/12/26,2742,17
2022/12/23,2725,-27
2022/12/22,2752,12
2022/12/21,2740,-23
2022/12/20,2763,-68
2022/12/19,2831,-31
2022/12/16,2862,-51
2022/12/15,2913,-14.5
2022/12/14,2927.5,21
2022/12/13,2906.5,13
2022/12/12,2893.5,-7.5
2022/12/09,2901,36.5
2022/12/08,2864.5,-13.5
2022/12/07,2878,-19.5
2022/12/06,2897.5,7
2022/12/05,2890.5,5.5
2022/12/02,2885,-50
2022/12/01,2935,29
2022/11/30,2906,-8
2022/11/29,2914,-10
2022/11/28,2924,-15.5
2022/11/25,2939.5,-8
2022/11/24,2947.5,24
2022/11/22,2923.5,21
2022/11/21,2902.5,4.5
2022/11/18,2898,-5
2022/11/17,2903,-11
2022/11/16,2914,4.5
2022/11/15,2909.5,1.5
2022/11/14,2908,-28
2022/11/11,2936,85
2022/11/10,2851,-28
2022/11/09,2879,-15.5
2022/11/08,2894.5,35.5
2022/11/07,2859,34
2022/11/04,2825,-49
2022/11/02,2874,-1
2022/11/01,2875,10.5
2022/10/31,2864.5,49
2022/10/28,2815.5,-25
2022/10/27,2840.5,-8
2022/10/26,2848.5,18.5
2022/10/25,2830,27
2022/10/24,2803,11
2022/10/21,2792,-13.5
2022/10/20,2805.5,-26
2022/10/19,2831.5,7.5
2022/10/18,2824,41.5
2022/10/17,2782.5,-34
2022/10/14,2816.5,89
2022/10/13,2727.5,-14.5
2022/10/12,2742,-2.5
2022/10/11,2744.5,-72.5
2022/10/07,2817,-22.5
2022/10/06,2839.5,23
2022/10/05,2816.5,13
2022/10/04,2803.5,80
2022/10/03,2723.5,33
2022/09/30,2690.5,-60.5
2022/09/29,2751,55
2022/09/28,2696,-41
2022/09/27,2737,12
2022/09/26,2725,-74.5
2022/09/22,2799.5,-14
2022/09/21,2813.5,-41
2022/09/20,2854.5,12.5
2022/09/16,2842,-29.5
2022/09/15,2871.5,4
2022/09/14,2867.5,-80.5
2022/09/13,2948,9
2022/09/12,2939,29.5
2022/09/09,2909.5,17
2022/09/08,2892.5,66
2022/09/07,2826.5,-18
2022/09/06,2844.5,-2.5
2022/09/05,2847,-2
2022/09/02,2849,-2.5
2022/09/01,2851.5,-43
2022/08/31,2894.5,-10.5
2022/08/30,2905,32.5
2022/08/29,2872.5,-76.5
2022/08/26,2949,15.5
2022/08/25,2933.5,17
2022/08/24,2916.5,-12.5
2022/08/23,2929,-34
2022/08/22,2963,-15
2022/08/19,2978,-1
2022/08/18,2979,-28
2022/08/17,3007,34.5
2022/08/16,2972.5,0
2022/08/15,2972.5,31
2022/08/12,2941.5,77
2022/08/10,2864.5,-19
2022/08/09,2883.5,-25
2022/08/08,2908.5,-21.5
2022/08/05,2930,25.5
2022/08/04,2904.5,19.5
2022/08/03,2885,15
2022/08/02,2870,-41
2022/08/01,2911,18
2022/07/29,2893,0.5
2022/07/28,2892.5,10
2022/07/27,2882.5,8
2022/07/26,2874.5,-6
2022/07/25,2880.5,-22
2022/07/22,2902.5,12.5
2022/07/21,2890,12
2022/07/20,2878,74
2022/07/19,2804,17
2022/07/15,2787,16
2022/07/14,2771,17.5
2022/07/13,2753.5,14
2022/07/12,2739.5,-47
2022/07/11,2786.5,9
2022/07/08,2777.5,22
2022/07/07,2755.5,41
2022/07/06,2714.5,-33
2022/07/05,2747.5,26.5
2022/07/04,2721,19
2022/07/01,2702,-42.5
2022/06/30,2744.5,-42
2022/06/29,2786.5,-23.5
2022/06/28,2810,18
2022/06/27,2792,37
2022/06/24,2755,36.5
2022/06/23,2718.5,1
2022/06/22,2717.5,-9
2022/06/21,2726.5,48
2022/06/20,2678.5,-21
2022/06/17,2699.5,-49
2022/06/16,2748.5,13
2022/06/15,2735.5,-31
2022/06/14,2766.5,-40
2022/06/13,2806.5,-85.5
2022/06/10,2892,-43
2022/06/09,2935,2
2022/06/08,2933,29.5
2022/06/07,2903.5,2.5
2022/06/06,2901,18
2022/06/03,2883,34.5
2022/06/02,2848.5,-3
2022/06/01,2851.5,18
2022/05/31,2833.5,-12.5
2022/05/30,2846,64
2022/05/27,2782,17.5
2022/05/26,2764.5,-7.5
2022/05/25,2772,-8
2022/05/24,2780,-24.5
2022/05/23,2804.5,24
2022/05/20,2780.5,35.5
2022/05/19,2745,-49
2022/05/18,2794,24.5
2022/05/17,2769.5,8
2022/05/16,2761.5,17
2022/05/13,2744.5,67
2022/05/12,2677.5,-46.5
2022/05/11,2724,5.5
2022/05/10,2718.5,-15.5
2022/05/09,2734,-69
2022/05/06,2803,17.5
2022/05/02,2785.5,-4
2022/04/28,2789.5,51
2022/04/27,2738.5,-33.5
2022/04/26,2772,10.5
2022/04/25,2761.5,-53
2022/04/22,2814.5,-46
2022/04/21,2860.5,33.5
2022/04/20,2827,24.5
2022/04/19,2802.5,19.5
2022/04/18,2783,-32
2022/04/15,2815,-8.5
2022/04/14,2823.5,32
2022/04/13,2791.5,53.5
2022/04/12,2738,-50
2022/04/11,2788,-16
2022/04/08,2804,11.5
2022/04/07,2792.5,-49.5
2022/04/06,2842,-42.5
2022/04/05,2884.5,3.5
2022/04/04,2881,7
2022/04/01,2874,-17.5
2022/03/31,2891.5,-18
2022/03/30,2909.5,4.5
2022/03/29,2905,26
2022/03/28,2879,-20
2022/03/25,2899,4.5
2022/03/24,2894.5,6
2022/03/23,2888.5,86
2022/03/22,2802.5,38.5
2022/03/18,2764,20.5
2022/03/17,2743.5,91.5
2022/03/16,2652,42
2022/03/15,2610,3
2022/03/14,2607,13.5
2022/03/11,2593.5,-50.5
2022/03/10,2644,98
2022/03/09,2546,-8
2022/03/08,2554,-47.5
2022/03/07,2601.5,-76
2022/03/04,2677.5,-62
2022/03/03,2739.5,22
2022/03/02,2717.5,-46.5
2022/03/01,2764,31.5
2022/02/28,2732.5,3.5
2022/02/25,2729,50.5
2022/02/24,2678.5,-44.5
2022/02/22,2723,-47
2022/02/21,2770,-22
2022/02/18,2792,-12
2022/02/17,2804,-22.5
2022/02/16,2826.5,60.5
2022/02/15,2766,-22
2022/02/14,2788,-65
2022/02/10,2853,14
2022/02/09,2839,31
2022/02/08,2808,-16
2022/02/07,2824,-21
2022/02/04,2845,19
2022/02/03,2826,-30.5
2022/02/02,2856.5,47
